Code	MIN	MAX	ROL	ROQ	
MTAUT0001557	0	0	0	0	0
MTAUT0001558	0	0	0	0	0
MTAUT0001559	0	0	0	0	0
MTAUT0001560	0	0	0	0	0
MTAUT0001561	0	0	0	0	0
MTAUT0001562	0	0	0	0	0
MTAUT0001563	0	0	0	0	0
MTAUT0001581	0	0	0	0	0
MTAUT0001583	0	0	0	0	0
MTAUT0001596	0	0	0	0	0
MTAUT0001598	0	0	0	0	0
MTAUT0001604	0	0	0	0	0
MTAUT0001605	0	0	0	0	0
MTAUT0001606	0	0	0	0	0
MTAUT0001607	0	0	0	0	0
MTAUT0001608	0	0	0	0	0
MTAUT0001615	0	0	0	0	0
MTAUT0001616	0	0	0	0	0
MTAUT0001617	0	0	0	0	0
MTAUT0001618	0	0	0	0	0
MTAUT0001621	0	0	0	0	0
MTAUT0001622	0	0	0	0	0
MTAUT0001624	0	0	0	0	0
MTAUT0001625	0	0	0	0	0
MTAUT0001626	0	0	0	0	0
MTAUT0001627	0	0	0	0	0
MTAUT0001634	0	0	0	0	0
MTAUT0001642	0	0	0	0	0
MTAUT0001643	0	0	0	0	0
MTAUT0001661	0	0	0	0	0
MTAUT0001662	0	0	0	0	0
MTAUT0001663	0	0	0	0	0
MTAUT0001664	0	0	0	0	0
MTAUT0001665	0	0	0	0	0
MTAUT0001666	0	0	0	0	0
MTAUT0001667	0	0	0	0	0
MTAUT0001682	0	0	0	0	0
MTAUT0001686	0	0	0	0	0
MTAUT0001687	0	0	0	0	0
MTAUT0001688	0	0	0	0	0
MTAUT0001689	0	0	0	0	0
MTAUT0001850	0	0	0	0	0
MTAUT0001852	0	0	0	0	0
MTAUT0001853	0	0	0	0	0
MTAUT0001854	0	0	0	0	0
MTAUT0001855	1	5	2	2	1
MTAUT0001856	2	8	3	6	1
MTAUT0001857	2	4	3	5	1
MTAUT0001858	0	0	0	0	0
MTAUT0001859	0	0	0	0	0
MTAUT0001860	2	4	3	5	1
MTAUT0001861	2	4	3	5	1
MTAUT0001862	0	0	0	0	0
MTAUT0001863	0	0	0	0	0
MTAUT0001864	10	30	10	30	1
MTAUT0001865	0	0	0	0	0
MTAUT0001866	2	4	2	3	1
MTAUT0001867	0	0	0	0	0
MTAUT0001868	1	2	1	2	1
MTAUT0001869	0	0	0	0	0
MTAUT0001872	4	10	5	5	1
MTAUT0001873	4	10	5	5	1
MTAUT0001874	5	20	5	15	1
MTAUT0001910	0	0	0	0	0
MTAUT0001911	0	0	0	0	0
