Item No	Item Description	Inventory UoM	catno	stkmaintain	active	Warehouse	MIN	MAX	ROL	ROQ	LT	SHP
MTAUT0001964	AUTOMOBILE- OIL FILTER C 932 - VIC	NOS	1	1	1	1	3	8	3	5	7	30
MTAUT0001866	AUTOMOBILE- OIL FILTER C 313 - VIC	NOS	1	1	1	1	2	4	2	3	7	30
MTAUT0001868	AUTOMOBILE- OIL FILTER C 110 - VIC	NOS	1	1	1	1	1	2	1	2	7	30
MTAUT0002077	AUTOMOBILE- OIL FILTER C 1712 - Sakura	Nos	1	1	1	1	1	3	1	4	7	30
MTAUT0002078	AUTOMOBILE- OIL FILTER  JX1008A	Nos	1	1	1	1	2	4	2	2	7	30
MTAUT0002079	AUTOMOBILE- OIL FILTER C 1515	Nos	1	1	1	1	1	2	1	2	7	30
MTAUT0002080	AUTOMOBILE- OIL FILTER C 1502	NOS	1	1	1	1	1	2	1	2	7	30
MTAUT0002081	AUTOMOBILE- OIL FILTER C 1006	NOS	1	1	1	1	1	2	1	2	7	30
MTAUT0002076	AUTONOBILE-FUEL & LUBRICANT - MOBILE SUPER 1000 (10W 30 )	LTS	1	1	1	1	4	30	10	40	7	30
MTAUT001862	AUTOMOBILE-FUEL & LUBRICANT - TOYOTA ( 10W -30 )	LTS	1	1	1	1	4	12	4	12	7	30
MTAUT0001864	AUTOMOBILE-CAR WASH - ROYEL SUPER	LTS	1	1	1	1	10	30	10	30	7	30
MTMEC0001553	AUTOMOBILE-COOLANT ( CALTEX)	LTS	1	1	1	1	4	12	5	15	7	30
MTAUT0001855	AUTOMOBILE-POWER STERING OIL -CALTEX	LTS	1	1	1	1	1	5	2	2	7	30
MTAUT0001856	AUTOMOBILE-LOCK HEAD - BRAKE OIL 1 LTS	LTS	1	1	1	1	2	8	3	6	7	30
MTAUT0001872	AUTOMOBILE-24V DOUBLE PILEMENT	Nos	1	1	1	1	4	10	5	5	7	30
MTAUT0001873	AUTOMOBILE-24V SINGLE PILEMENT	Nos	1	1	1	1	4	10	5	5	7	30
MTAUT0001874	AUTOMOBILE-24V SMALL BULB	Nos	1	1	1	1	5	20	5	15	7	30
MTAUT0002068	AUTOMOBILE-H3 24V 100W BULB	Nos	1	1	1	1	2	6	3	6	7	30
MTAUT0002069	AUTOMOBILE-H4 24V 100/90W HELGEN BULB	Nos	1	1	1	1	2	6	3	6	7	30
MTAUT0002070	AUTOMOBILE-24V 2W BULB	Nos	1	1	1	1	2	4	3	5	7	30
MTAUT0002071	AUTOMOBILE-24V 5W BULB	Nos	1	1	1	1	2	4	3	5	7	30
MTAUT0002072	AUTOMOBILE-12V 21/5W BULB (CAPLESS)	Nos	1	1	1	1	2	6	3	6	7	30
MTAUT0002073	AUTOMOBILE-12V 21W HILUX BULB	Nos	1	1	1	1	2	6	3	6	7	30
MTAUT0002074	AUTOMOBILE-12V 21/5W BULB (HILUX)	Nos	1	1	1	1	2	6	3	6	7	30
MTAUT0001861	"AUTOMOBILE-WIPER BLADE 16"""	Nos	1	1	1	1	2	4	3	5	7	30
MTAUT0001860	"AUTOMOBILE-WIPER BLADE 17"""	Nos	1	1	1	1	2	4	3	5	7	30
MTAUT0001857	"AUTOMOBILE-WIPER BLADE 21"""	Nos	1	1	1	1	2	4	3	5	7	30
MTGEN0000644	AUTOMOBILE-GENARAL -SUPER GLUE	Nos	1	1	1	1	2	6	3	6	7	30
MTAUT0002075	AUTOMOBILE-HEAVY DUTY UNDER CARRIAGE CLEANER - ROYEL SUPER	LTS	1	1	1	1	5	30	10	20	7	30
MTAUT0001965	AUTOMOBILE- OIL FILTER C 209 - VIC	NOS	1	1	1	1	0	0	0	0	7	30
MTAUT0001966	AUTOMOBILE- OIL FILTER C 503 - VIC	NOS	1	1	1	1	0	0	0	0	7	30
MTAUT0001967	AUTOMOBILE- OIL FILTER C 526 - VIC	NOS	1	1	1	1	0	0	0	0	7	30
MTAUT0001968	AUTOMOBILE- OIL FILTER C 212 - UNION	NOS	1	1	1	1	0	0	0	0	7	30
MTAUT0001969	AUTOMOBILE- OIL FILTER C 305 - VIC	NOS	1	1	1	1	0	0	0	0	7	30
MTAUT0001970	AUTOMOBILE- OIL FILTER C 933 - VIC	NOS	1	1	1	1	0	0	0	0	7	30
MTAUT0001971	AUTOMOBILE- OIL FILTER O 110 - VIC	NOS	1	1	1	1	0	0	0	0	7	30
MTAUT0001972	AUTOMOBILE- OIL FILTER C 304 - VIC	NOS	1	1	1	1	0	0	0	0	7	30
MTAUT0001973	AUTOMOBILE- FUEL FILTER FC 208 - VIC	NOS	1	1	1	1	0	0	0	0	7	30
MTAUT0001974	AUTOMOBILE- CALTEX BRAKE OIL DOT 3-500ml	NOS	1	1	1	1	0	0	0	0	7	30
MTAUT0001975	AUTOMOBILE- LOCKHEAD HYDROLIC  OIL DOT 3 -500ml	NOS	1	1	1	1	0	0	0	0	7	30
MTMEC0000692	MECHANICAL - BEARING   1207	NOS	2	1	1	1	4	6	5	4	7	30
MTMEC0000693	MECHANICAL - BEARING   2205 ZZ	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000694	MECHANICAL - BEARING   2307 KG 15 C3 (J 30 )	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000695	MECHANICAL - BEARING   3600 ZZ	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000697	MECHANICAL - BEARING   51108	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000699	MECHANICAL - BEARING   51109	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000701	MECHANICAL - BEARING   5205 NR - DND	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000702	MECHANICAL - BEARING   5208 EE G 15 (EC)	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000704	MECHANICAL - BEARING   6000 ZZ DND	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000705	MECHANICAL - BEARING   6003 EE	NOS	2	1	1	1	4	10	3	10	7	30
MTMEC0000706	MECHANICAL - BEARING   6003 ZZ	NOS	2	1	1	1	4	10	5	8	7	30
MTMEC0000707	MECHANICAL - BEARING   6006 LLU DND	NOS	2	1	1	1	4	8	5	6	7	30
MTMEC0000713	MECHANICAL - BEARING   6200 ZZ	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000714	MECHANICAL - BEARING   6201 ZZ C3 (J 30 )	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000715	MECHANICAL - BEARING   6205 NR	NOS	2	1	1	1	6	10	7	8	7	30
MTMEC0000716	MECHANICAL - BEARING   6206 LLU DND	NOS	2	1	1	1	4	6	5	4	7	30
MTMEC0000717	MECHANICAL - BEARING   6206 ZZ-DND	NOS	2	1	1	1	4	6	5	4	7	30
MTMEC0000718	MECHANICAL - BEARING   6207 ZZ DND	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000719	MECHANICAL - BEARING   6208 ZZ-DND	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000720	MECHANICAL - BEARING   6208 ZZ C3 (J 30 )	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000721	MECHANICAL - BEARING   6209 ZZ DND	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000725	MECHANICAL - BEARING   6308 EE	NOS	2	1	1	1	4	6	5	4	7	30
MTMEC0000726	MECHANICAL - BEARING   6308 ZZ	NOS	2	1	1	1	4	6	5	4	7	30
MTMEC0000727	MECHANICAL - BEARING   6310 ZZ C3 (J 30 )	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000733	MECHANICAL - BEARING DOUBLE BALL 1204 S SELF ALINE	NOS	2	1	1	1	8	12	9	10	7	30
MTMEC0000734	MECHANICAL - BEARING DOUBLE BALL 2205 ETN9	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000735	MECHANICAL - BEARING DOUBLE BALL 2307 KG15C3 (J30)	NOS	2	1	1	1	2	4	2	3	7	30
MTMEC0000736	MECHANICAL - BEARING DOUBLE BALL 3208 2RS	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000737	MECHANICAL - BEARING DOUBLE BALL 3210 A	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000738	MECHANICAL - BEARING DOUBLE BALL 6205 2RS	NOS	2	1	1	1	2	4	3	2	7	30
MTMEC0000742	MECHANICAL - BEARING SINGLE BALL 1203 ETN9	NOS	2	1	1	1	2	4	3	2	7	30
