no,ITEM CODE,Des,company no,company,dept no,department,Inventory UoM,cur bal,adj qty,NewBal,unit cost,total,wh code,wh
0,MTAUT0001557,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001558,aa,1,Western Paper Industries ,4,STORES,NOS,0,4,4,0,0,0,0
0,MTAUT0001559,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001560,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001561,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001562,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001563,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001581,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001583,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001596,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001598,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001604,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001605,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001606,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001607,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001608,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001615,aa,1,Western Paper Industries ,4,STORES,NOS,0,4,4,0,0,0,0
0,MTAUT0001616,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001617,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001618,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001621,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001622,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0001624,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001625,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001626,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTAUT0001627,aa,1,Western Paper Industries ,4,STORES,NOS,0,11,11,0,0,0,0
0,MTAUT0001634,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
