date,Item No.,Item Description,Warehouse Code,In Stock,Inventory UoM,company,department,unit cost
20/09/2017,MTAUT0001558,AUTOMOBILE- 275 X 17 TYRE,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0001558,AUTOMOBILE- 275 X 17 TYRE,,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0002479,GENARAL-Ø 2” PN25 FLAUGER,,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0000111,ELECTRICAL - MCB  1 POLE   6 A  BREAKER,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0000195,ELECTRICAL - SWITCH 2 GANG   10 A 250V,,4,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0000195,ELECTRICAL - SWITCH 2 GANG   10 A 250V,,8,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0002018,ELECTRICAL - NEWTEN METER (0-60),,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC00022292,ELECTRICAL - COUNTER METER MODEL-LA8N-BF BRAND-AUTONICS,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTFUL0001207,FUEL & LUBRICANT- HYDROLIC OIL HD68,,100,LITER,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000315,GENARAL - ALAN BOLT  10 MM X 2 '',,10,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000389,GENARAL - DRILL BIT   7 MM (H.S.S),,4,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000391,GENARAL - DRILL BIT  1/2 '' (H.S.S),,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000425,GENARAL - GRINDING WHEEL   100 X 6 X 16,,20,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000425,GENARAL - GRINDING WHEEL   100 X 6 X 16,,6,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000441,GENARAL - HEX HEAD BOLT   15 MM X 6'',,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000515,GENARAL - PVC BEND   20 MM  1000 TYPE,,8,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000548,GENARAL - PVC PIPE  1'',,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000548,GENARAL - PVC PIPE  1'',,8,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000548,GENARAL - PVC PIPE  1'',,10,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000548,GENARAL - PVC PIPE  1'',,10,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000576,GENARAL - PVC T SOCKET   50 MM,,4,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000638,GENARAL - SPRING WASHER   6 MM,,90,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000646,GENARAL - TAP SET   18 X 2.5,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000673,GENARAL - WATER SAND PAPER  P 120,,28,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001359,GENARAL - DRILL BIT 6MM CONCREAT,,6,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001360,GENARAL - DRILL BIT CONCREAT 10MM (HILTI),,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001362,GENARAL - DRILL BIT CONCREAT 16MM (HILTI),,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001365,GENARAL - JIGSAW BLADE WOOD,,11,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001369,GENARAL - MULTIBOND,,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001383,GENARAL - TAP SET 5MMX0.8MM,,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001430,"GENERAL - GRUB SCREW 7/32""X10MM",,25,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001435,GENERAL - HEX HEAD BOLT 6MMX12MM,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001586,"GENERAL - GI ELBOW 1""",,6,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001619,GENARAL - DIE NUT & BOLT,,10,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001906,GENARAL - HEX HEAD BOLT  15 MM X 80MM,,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000788,MECHANICAL - BELT  525L,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000864,MECHANICAL - BELT TEETH 460 H,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000875,MECHANICAL - BELT TEETH TYPE L05A,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000973,MECHANICAL - PULSE PUMP RUBBER SEAL  Ø 94 (O.D)X59MM(I.D) X16 MM THICKNESS,,8,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0001049,MECHANICAL - UNIVERSAL JOINT GUT-28,,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0001226,MECHANICAL - BELT B 57,,1,NOS,Western Paper Industries ,STORES,0
